,,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Total,,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Total,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Total,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Total,,,,,Grand Total,,,,
,Hôpital de Rolle Total,,11'022.20,11'859.85,11'859.85,0.00,0.00,8'852.00,9'524.75,9'524.75,0.00,0.00,9'730.95,10'470.55,10'470.55,0.00,0.00,10'430.30,11'223.10,11'223.10,0.00,0.00,8'722.40,9'385.35,9'385.35,0.00,0.00,9'461.65,10'180.75,10'180.75,0.00,0.00,11'579.65,12'459.45,12'459.45,0.00,0.00,13'349.45,14'364.05,14'364.05,0.00,0.00,83'148.60,89'467.85,89'467.85,0.00,0.00,10'343.45,11'129.50,11'129.50,0.00,0.00,9'235.95,9'937.75,9'937.75,0.00,0.00,11'615.25,12'498.00,12'498.00,0.00,0.00,9'438.65,10'156.05,10'156.05,0.00,0.00,9'635.95,10'368.25,10'368.25,0.00,0.00,11'321.95,12'182.45,12'182.45,0.00,0.00,11'291.40,12'149.55,12'149.55,0.00,0.00,11'465.65,12'336.95,12'336.95,0.00,0.00,8'542.65,9'191.85,9'191.85,0.00,0.00,11'893.55,12'797.40,12'797.40,0.00,0.00,9'187.05,9'885.15,9'885.15,0.00,0.00,11'246.80,12'101.45,12'101.45,0.00,0.00,125'218.30,134'734.35,134'734.35,0.00,0.00,11'026.60,11'864.60,11'864.60,0.00,0.00,9'643.90,10'376.80,10'376.80,0.00,0.00,11'327.70,12'188.70,12'188.70,0.00,0.00,10'236.25,11'014.40,11'014.40,0.00,0.00,11'279.65,12'136.80,12'136.80,0.00,0.00,11'586.45,12'467.05,12'467.05,0.00,0.00,10'503.70,11'302.05,11'302.05,0.00,0.00,9'477.75,10'198.00,10'198.00,0.00,0.00,8'594.15,9'247.30,9'247.30,0.00,0.00,8'927.20,9'605.85,9'605.85,0.00,0.00,9'348.05,10'058.40,10'058.40,0.00,0.00,10'357.45,11'144.55,11'144.55,0.00,0.00,122'308.85,131'604.50,131'604.50,0.00,0.00,8'766.05,9'432.40,9'432.40,0.00,0.00,9'212.10,9'912.55,9'912.55,0.00,0.00,9'245.20,9'947.95,9'947.95,0.00,0.00,10'360.50,11'147.85,11'147.85,0.00,0.00,9'845.60,10'593.95,10'593.95,0.00,0.00,9'885.95,10'637.25,10'637.25,0.00,0.00,10'636.60,11'445.05,11'445.05,0.00,0.00,10'429.15,11'221.80,11'221.80,0.00,0.00,9'174.60,9'871.80,9'871.80,0.00,0.00,8'881.10,9'556.00,9'556.00,0.00,0.00,9'571.35,10'298.75,10'298.75,0.00,0.00,10'203.50,10'978.95,10'978.95,0.00,0.00,116'211.70,125'044.30,125'044.30,0.00,0.00,446'887.45,480'851.00,480'851.00,0.00,0.00
GLOB. R766,Magazine zum Globus AG,447,3'357.20,3'612.50,3'612.50,0.00,0.00,1'783.40,1'918.95,1'918.95,0.00,0.00,2'110.85,2'271.35,2'271.35,0.00,0.00,1'938.90,2'086.30,2'086.30,0.00,0.00,2'155.35,2'319.05,2'319.05,0.00,0.00,2'288.15,2'462.00,2'462.00,0.00,0.00,2'505.15,2'695.60,2'695.60,0.00,0.00,2'493.05,2'682.50,2'682.50,0.00,0.00,18'632.05,20'048.25,20'048.25,0.00,0.00,2'562.90,2'757.70,2'757.70,0.00,0.00,2'186.40,2'352.65,2'352.65,0.00,0.00,2'241.15,2'411.50,2'411.50,0.00,0.00,1'966.30,2'115.70,2'115.70,0.00,0.00,2'354.20,2'533.25,2'533.25,0.00,0.00,1'791.20,1'927.40,1'927.40,0.00,0.00,2'234.40,2'404.30,2'404.30,0.00,0.00,1'743.35,1'875.95,1'875.95,0.00,0.00,1'858.55,1'999.80,1'999.80,0.00,0.00,2'472.35,2'660.35,2'660.35,0.00,0.00,1'834.95,1'974.35,1'974.35,0.00,0.00,1'871.10,2'013.50,2'013.50,0.00,0.00,25'116.85,27'026.45,27'026.45,0.00,0.00,1'840.00,1'979.90,1'979.90,0.00,0.00,2'163.50,2'328.10,2'328.10,0.00,0.00,1'753.95,1'887.25,1'887.25,0.00,0.00,1'742.30,1'874.80,1'874.80,0.00,0.00,1'678.95,1'806.70,1'806.70,0.00,0.00,2'246.50,2'417.35,2'417.35,0.00,0.00,1'905.00,2'049.75,2'049.75,0.00,0.00,1'483.40,1'596.25,1'596.25,0.00,0.00,1'585.00,1'705.35,1'705.35,0.00,0.00,1'739.80,1'872.15,1'872.15,0.00,0.00,1'828.55,1'967.60,1'967.60,0.00,0.00,1'899.85,2'044.25,2'044.25,0.00,0.00,21'866.80,23'529.45,23'529.45,0.00,0.00,1'493.05,1'606.50,1'606.50,0.00,0.00,1'607.45,1'729.70,1'729.70,0.00,0.00,1'654.85,1'780.75,1'780.75,0.00,0.00,1'613.60,1'736.25,1'736.25,0.00,0.00,1'417.65,1'525.40,1'525.40,0.00,0.00,1'888.80,2'032.45,2'032.45,0.00,0.00,1'448.75,1'558.95,1'558.95,0.00,0.00,1'676.35,1'803.75,1'803.75,0.00,0.00,1'632.35,1'756.45,1'756.45,0.00,0.00,1'808.00,1'945.45,1'945.45,0.00,0.00,1'844.70,1'985.00,1'985.00,0.00,0.00,1'976.65,2'126.95,2'126.95,0.00,0.00,20'062.20,21'587.60,21'587.60,0.00,0.00,85'677.90,92'191.75,92'191.75,0.00,0.00
GRILLON,Chalet le Grillon-Arveyes,367,198.95,214.05,214.05,0.00,0.00,,,,,,,,,,,452.60,487.00,487.00,0.00,0.00,431.75,464.55,464.55,0.00,0.00,149.25,160.60,160.60,0.00,0.00,134.10,144.30,144.30,0.00,0.00,,,,,,1'366.65,1'470.50,1'470.50,0.00,0.00,684.70,736.75,736.75,0.00,0.00,1'049.60,1'129.30,1'129.30,0.00,0.00,1'013.75,1'090.75,1'090.75,0.00,0.00,335.45,360.95,360.95,0.00,0.00,274.25,295.10,295.10,0.00,0.00,,,,,,310.25,333.80,333.80,0.00,0.00,618.40,665.40,665.40,0.00,0.00,365.10,392.85,392.85,0.00,0.00,207.50,223.25,223.25,0.00,0.00,238.40,256.50,256.50,0.00,0.00,,,,,,5'097.40,5'484.65,5'484.65,0.00,0.00,906.65,975.50,975.50,0.00,0.00,1'072.45,1'153.95,1'153.95,0.00,0.00,922.75,992.90,992.90,0.00,0.00,92.20,99.20,99.20,0.00,0.00,275.95,296.90,296.90,0.00,0.00,,,,,,253.75,273.05,273.05,0.00,0.00,339.30,365.10,365.10,0.00,0.00,407.75,438.75,438.75,0.00,0.00,207.65,223.40,223.40,0.00,0.00,148.50,159.80,159.80,0.00,0.00,49.60,53.35,53.35,0.00,0.00,4'676.55,5'031.90,5'031.90,0.00,0.00,599.15,644.75,644.75,0.00,0.00,1'075.85,1'157.60,1'157.60,0.00,0.00,782.40,841.85,841.85,0.00,0.00,669.65,720.55,720.55,0.00,0.00,,,,,,,,,,,116.30,125.15,125.15,0.00,0.00,651.05,700.50,700.50,0.00,0.00,52.50,56.50,56.50,0.00,0.00,101.80,109.55,109.55,0.00,0.00,183.30,197.25,197.25,0.00,0.00,340.00,365.85,365.85,0.00,0.00,4'572.00,4'919.55,4'919.55,0.00,0.00,15'712.60,16'906.60,16'906.60,0.00,0.00
HOLMES GE,Holmes Place  AG,432,24'404.30,26'259.25,26'259.25,0.00,0.00,22'499.85,24'209.90,24'209.90,0.00,0.00,23'213.00,24'977.15,24'977.15,0.00,0.00,22'203.45,23'890.85,23'890.85,0.00,0.00,20'985.30,22'580.15,22'580.15,0.00,0.00,26'171.30,28'160.20,28'160.20,0.00,0.00,26'632.40,28'656.65,28'656.65,0.00,0.00,20'148.80,21'680.20,21'680.20,0.00,0.00,186'258.40,200'414.35,200'414.35,0.00,0.00,24'696.65,26'573.50,26'573.50,0.00,0.00,24'468.30,26'328.10,26'328.10,0.00,0.00,26'748.80,28'781.65,28'781.65,0.00,0.00,8'269.55,8'898.05,8'898.05,0.00,0.00,4'761.10,5'122.95,5'122.95,0.00,0.00,1'500.00,1'614.00,1'614.00,0.00,0.00,1'500.00,1'614.00,1'614.00,0.00,0.00,1'500.00,1'614.00,1'614.00,0.00,0.00,,,,,,260.55,280.35,280.35,0.00,0.00,980.25,1'054.75,1'054.75,0.00,0.00,,,,,,94'685.20,101'881.35,101'881.35,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5'333.00,5'738.30,5'738.30,0.00,0.00,5'333.00,5'738.30,5'738.30,0.00,0.00,286'276.60,308'034.00,308'034.00,0.00,0.00
HOLMES VD,Holmes Place AG,431,14'118.20,15'191.30,15'191.30,0.00,0.00,10'824.05,11'646.65,11'646.65,0.00,0.00,12'302.40,13'237.50,13'237.50,0.00,0.00,10'876.40,11'703.05,11'703.05,0.00,0.00,11'710.90,12'601.00,12'601.00,0.00,0.00,14'107.65,15'179.70,15'179.70,0.00,0.00,14'258.35,15'342.05,15'342.05,0.00,0.00,11'765.85,12'660.10,12'660.10,0.00,0.00,99'963.80,107'561.35,107'561.35,0.00,0.00,14'113.85,15'186.45,15'186.45,0.00,0.00,13'704.15,14'745.65,14'745.65,0.00,0.00,14'403.10,15'497.80,15'497.80,0.00,0.00,6'127.05,6'592.80,6'592.80,0.00,0.00,5'109.65,5'497.95,5'497.95,0.00,0.00,10'919.35,11'749.45,11'749.45,0.00,0.00,11'012.05,11'849.00,11'849.00,0.00,0.00,9'053.75,9'741.90,9'741.90,0.00,0.00,12'348.80,13'287.30,13'287.30,0.00,0.00,14'566.80,15'673.90,15'673.90,0.00,0.00,15'088.55,16'235.50,16'235.50,0.00,0.00,13'305.55,14'316.80,14'316.80,0.00,0.00,139'752.65,150'374.50,150'374.50,0.00,0.00,15'367.85,16'535.70,16'535.70,0.00,0.00,15'473.70,16'649.70,16'649.70,0.00,0.00,12'318.75,13'255.00,13'255.00,0.00,0.00,9'275.20,9'980.10,9'980.10,0.00,0.00,9'308.80,10'016.35,10'016.35,0.00,0.00,8'381.10,9'018.10,9'018.10,0.00,0.00,5'840.55,6'284.45,6'284.45,0.00,0.00,6'302.65,6'781.75,6'781.75,0.00,0.00,7'439.60,8'004.85,8'004.85,0.00,0.00,8'773.30,9'440.15,9'440.15,0.00,0.00,9'405.15,10'119.95,10'119.95,0.00,0.00,6'460.70,6'951.75,6'951.75,0.00,0.00,114'347.35,123'037.85,123'037.85,0.00,0.00,626.05,673.60,673.60,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,9'750.00,10'491.00,10'491.00,0.00,0.00,107'876.05,116'074.60,116'074.60,0.00,0.00,461'939.85,497'048.30,497'048.30,0.00,0.00
HOTEL UNIO,Hôtel de l'Union,235,4'441.10,4'778.55,4'778.55,0.00,0.00,3'821.70,4'112.20,4'112.20,0.00,0.00,3'600.30,3'874.00,3'874.00,0.00,0.00,3'200.25,3'443.50,3'443.50,0.00,0.00,4'688.30,5'044.55,5'044.55,0.00,0.00,4'011.75,4'316.70,4'316.70,0.00,0.00,3'373.65,3'630.10,3'630.10,0.00,0.00,3'317.85,3'569.95,3'569.95,0.00,0.00,30'454.90,32'769.55,32'769.55,0.00,0.00,2'158.55,2'322.65,2'322.65,0.00,0.00,2'723.15,2'930.15,2'930.15,0.00,0.00,3'716.35,3'998.60,3'998.60,0.00,0.00,3'034.70,3'265.45,3'265.45,0.00,0.00,3'924.15,4'222.45,4'222.45,0.00,0.00,3'870.50,4'164.60,4'164.60,0.00,0.00,3'078.65,3'312.60,3'312.60,0.00,0.00,2'533.00,2'725.55,2'725.55,0.00,0.00,3'938.15,4'237.40,4'237.40,0.00,0.00,4'114.30,4'427.10,4'427.10,0.00,0.00,2'903.05,3'123.70,3'123.70,0.00,0.00,3'408.10,3'667.15,3'667.15,0.00,0.00,39'402.65,42'397.40,42'397.40,0.00,0.00,2'690.65,2'895.15,2'895.15,0.00,0.00,2'948.55,3'172.70,3'172.70,0.00,0.00,4'323.85,4'652.45,4'652.45,0.00,0.00,3'123.10,3'360.45,3'360.45,0.00,0.00,4'403.15,4'737.80,4'737.80,0.00,0.00,1'431.65,1'540.45,1'540.45,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18'920.95,20'359.00,20'359.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88'778.50,95'525.95,95'525.95,0.00,0.00
HUNTSMANN,Huntsman Adv. Materials (Switz,460,3'353.25,3'608.10,3'608.10,0.00,0.00,3'383.65,3'640.80,3'640.80,0.00,0.00,3'358.90,3'614.20,3'614.20,0.00,0.00,3'400.05,3'658.45,3'658.45,0.00,0.00,3'407.25,3'666.25,3'666.25,0.00,0.00,3'354.30,3'609.30,3'609.30,0.00,0.00,3'410.85,3'670.10,3'670.10,0.00,0.00,3'461.50,3'724.65,3'724.65,0.00,0.00,27'129.75,29'191.85,29'191.85,0.00,0.00,3'402.00,3'660.60,3'660.60,0.00,0.00,3'360.45,3'615.90,3'615.90,0.00,0.00,3'357.75,3'612.95,3'612.95,0.00,0.00,3'370.20,3'626.35,3'626.35,0.00,0.00,3'488.90,3'754.05,3'754.05,0.00,0.00,3'407.15,3'666.15,3'666.15,0.00,0.00,3'380.65,3'637.60,3'637.60,0.00,0.00,3'290.15,3'540.20,3'540.20,0.00,0.00,3'325.45,3'578.25,3'578.25,0.00,0.00,3'294.90,3'545.35,3'545.35,0.00,0.00,3'303.15,3'554.20,3'554.20,0.00,0.00,3'314.50,3'566.40,3'566.40,0.00,0.00,40'295.25,43'358.00,43'358.00,0.00,0.00,3'320.40,3'572.75,3'572.75,0.00,0.00,3'314.90,3'566.85,3'566.85,0.00,0.00,3'302.15,3'553.10,3'553.10,0.00,0.00,3'309.30,3'560.85,3'560.85,0.00,0.00,3'329.95,3'583.00,3'583.00,0.00,0.00,3'315.05,3'567.00,3'567.00,0.00,0.00,4'228.25,4'549.55,4'549.55,0.00,0.00,3'323.55,3'576.20,3'576.20,0.00,0.00,3'303.15,3'554.25,3'554.25,0.00,0.00,3'307.45,3'558.85,3'558.85,0.00,0.00,3'271.90,3'520.60,3'520.60,0.00,0.00,3'286.95,3'536.75,3'536.75,0.00,0.00,40'613.00,43'699.75,43'699.75,0.00,0.00,3'279.30,3'528.55,3'528.55,0.00,0.00,3'340.90,3'594.85,3'594.85,0.00,0.00,4'165.25,4'481.80,4'481.80,0.00,0.00,3'288.05,3'537.95,3'537.95,0.00,0.00,3'285.95,3'535.70,3'535.70,0.00,0.00,3'284.05,3'533.65,3'533.65,0.00,0.00,3'278.55,3'527.75,3'527.75,0.00,0.00,3'298.30,3'549.00,3'549.00,0.00,0.00,3'266.30,3'514.55,3'514.55,0.00,0.00,3'289.40,3'539.45,3'539.45,0.00,0.00,3'291.60,3'541.80,3'541.80,0.00,0.00,3'291.45,3'541.60,3'541.60,0.00,0.00,40'359.10,43'426.65,43'426.65,0.00,0.00,148'397.10,159'676.25,159'676.25,0.00,0.00
IBIS COINT,Cogestel cie Gest.Hôtelière,488,11'752.35,12'645.55,12'645.55,0.00,0.00,11'998.95,12'910.80,12'910.80,0.00,0.00,14'014.55,15'079.75,15'079.75,0.00,0.00,13'208.70,14'212.65,14'212.65,0.00,0.00,13'638.50,14'675.10,14'675.10,0.00,0.00,14'309.25,15'396.80,15'396.80,0.00,0.00,12'044.20,12'959.55,12'959.55,0.00,0.00,12'816.60,13'790.70,13'790.70,0.00,0.00,103'783.10,111'670.90,111'670.90,0.00,0.00,14'478.50,15'578.95,15'578.95,0.00,0.00,14'053.65,15'121.75,15'121.75,0.00,0.00,14'805.30,15'930.45,15'930.45,0.00,0.00,15'716.05,16'910.45,16'910.45,0.00,0.00,14'532.40,15'636.80,15'636.80,0.00,0.00,15'083.60,16'229.95,16'229.95,0.00,0.00,16'154.10,17'381.75,17'381.75,0.00,0.00,15'345.15,16'511.35,16'511.35,0.00,0.00,15'652.55,16'841.95,16'841.95,0.00,0.00,16'563.45,17'822.35,17'822.35,0.00,0.00,11'734.95,12'626.80,12'626.80,0.00,0.00,13'204.55,14'208.05,14'208.05,0.00,0.00,177'324.25,190'800.60,190'800.60,0.00,0.00,12'995.65,13'983.25,13'983.25,0.00,0.00,14'507.90,15'610.55,15'610.55,0.00,0.00,16'954.70,18'243.25,18'243.25,0.00,0.00,14'196.60,15'275.45,15'275.45,0.00,0.00,14'921.00,16'055.05,16'055.05,0.00,0.00,14'863.55,15'993.30,15'993.30,0.00,0.00,15'591.40,16'776.35,16'776.35,0.00,0.00,14'147.20,15'222.50,15'222.50,0.00,0.00,15'229.85,16'387.40,16'387.40,0.00,0.00,14'178.25,15'255.80,15'255.80,0.00,0.00,14'277.15,15'362.35,15'362.35,0.00,0.00,14'804.50,15'929.70,15'929.70,0.00,0.00,176'667.75,190'094.95,190'094.95,0.00,0.00,13'307.20,14'318.60,14'318.60,0.00,0.00,13'953.05,15'013.60,15'013.60,0.00,0.00,13'959.70,15'020.75,15'020.75,0.00,0.00,16'948.70,18'236.80,18'236.80,0.00,0.00,13'652.50,14'690.20,14'690.20,0.00,0.00,15'007.65,16'148.20,16'148.20,0.00,0.00,13'880.20,14'935.10,14'935.10,0.00,0.00,13'715.70,14'758.10,14'758.10,0.00,0.00,14'866.00,15'995.85,15'995.85,0.00,0.00,13'717.10,14'759.75,14'759.75,0.00,0.00,14'082.90,15'153.25,15'153.25,0.00,0.00,12'931.35,13'914.05,13'914.05,0.00,0.00,170'022.05,182'944.25,182'944.25,0.00,0.00,627'797.15,675'510.70,675'510.70,0.00,0.00
IBIS CRIS,Hotel Ibis Crissier,337,14'032.95,15'099.40,15'099.40,0.00,0.00,11'917.45,12'823.30,12'823.30,0.00,0.00,14'472.25,15'572.20,15'572.20,0.00,0.00,13'827.65,14'878.60,14'878.60,0.00,0.00,12'616.85,13'575.80,13'575.80,0.00,0.00,13'415.65,14'435.45,14'435.45,0.00,0.00,12'112.20,13'032.60,13'032.60,0.00,0.00,10'720.35,11'535.05,11'535.05,0.00,0.00,103'115.35,110'952.40,110'952.40,0.00,0.00,9'793.75,10'538.15,10'538.15,0.00,0.00,10'931.05,11'761.85,11'761.85,0.00,0.00,13'832.70,14'884.05,14'884.05,0.00,0.00,13'203.70,14'207.25,14'207.25,0.00,0.00,13'346.30,14'360.70,14'360.70,0.00,0.00,13'082.80,14'077.05,14'077.05,0.00,0.00,15'122.30,16'271.65,16'271.65,0.00,0.00,13'169.35,14'170.40,14'170.40,0.00,0.00,14'160.70,15'237.00,15'237.00,0.00,0.00,13'729.30,14'772.80,14'772.80,0.00,0.00,10'855.45,11'680.40,11'680.40,0.00,0.00,11'600.25,12'481.90,12'481.90,0.00,0.00,152'827.65,164'443.20,164'443.20,0.00,0.00,9'609.85,10'340.25,10'340.25,0.00,0.00,11'704.20,12'593.85,12'593.85,0.00,0.00,15'302.95,16'466.00,16'466.00,0.00,0.00,13'092.80,14'088.05,14'088.05,0.00,0.00,13'032.65,14'023.20,14'023.20,0.00,0.00,14'676.40,15'791.85,15'791.85,0.00,0.00,13'432.85,14'453.85,14'453.85,0.00,0.00,14'566.70,15'673.90,15'673.90,0.00,0.00,14'435.30,15'532.55,15'532.55,0.00,0.00,14'075.40,15'145.20,15'145.20,0.00,0.00,13'763.15,14'809.20,14'809.20,0.00,0.00,12'045.10,12'960.50,12'960.50,0.00,0.00,159'737.35,171'878.40,171'878.40,0.00,0.00,9'892.55,10'644.30,10'644.30,0.00,0.00,11'230.10,12'083.75,12'083.75,0.00,0.00,14'317.80,15'405.90,15'405.90,0.00,0.00,12'402.65,13'345.30,13'345.30,0.00,0.00,14'140.20,15'214.90,15'214.90,0.00,0.00,14'013.70,15'078.60,15'078.60,0.00,0.00,13'584.65,14'617.05,14'617.05,0.00,0.00,14'975.80,16'114.10,16'114.10,0.00,0.00,14'436.55,15'533.65,15'533.65,0.00,0.00,13'835.50,14'886.90,14'886.90,0.00,0.00,13'214.65,14'219.00,14'219.00,0.00,0.00,10'415.40,11'207.05,11'207.05,0.00,0.00,156'459.55,168'350.50,168'350.50,0.00,0.00,572'139.90,615'624.50,615'624.50,0.00,0.00
IBIS FG,Ibis Fribourg SA Retoura,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3'179.65,3'421.30,3'421.30,0.00,0.00,4'162.30,4'478.65,4'478.65,0.00,0.00,3'818.30,4'108.55,4'108.55,0.00,0.00,5'690.00,6'122.45,6'122.45,0.00,0.00,6'310.00,6'789.65,6'789.65,0.00,0.00,8'459.90,9'102.85,9'102.85,0.00,0.00,8'328.65,8'961.60,8'961.60,0.00,0.00,6'691.50,7'200.10,7'200.10,0.00,0.00,6'888.10,7'411.55,7'411.55,0.00,0.00,53'528.40,57'596.70,57'596.70,0.00,0.00,4'645.00,4'998.00,4'998.00,0.00,0.00,7'045.55,7'581.05,7'581.05,0.00,0.00,8'853.10,9'525.95,9'525.95,0.00,0.00,6'390.00,6'875.65,6'875.65,0.00,0.00,7'415.20,7'978.70,7'978.70,0.00,0.00,9'229.95,9'931.50,9'931.50,0.00,0.00,8'776.90,9'443.95,9'443.95,0.00,0.00,9'057.00,9'745.30,9'745.30,0.00,0.00,9'884.50,10'635.70,10'635.70,0.00,0.00,9'636.15,10'368.50,10'368.50,0.00,0.00,10'003.20,10'763.45,10'763.45,0.00,0.00,9'211.85,9'912.00,9'912.00,0.00,0.00,100'148.40,107'759.75,107'759.75,0.00,0.00,153'676.80,165'356.45,165'356.45,0.00,0.00
IBIS GE,Hôtel Eco Voltaire sa,423,8'484.60,9'129.50,9'129.50,0.00,0.00,7'493.50,8'062.95,8'062.95,0.00,0.00,8'748.15,9'412.95,9'412.95,0.00,0.00,8'313.35,8'945.25,8'945.25,0.00,0.00,7'857.50,8'454.70,8'454.70,0.00,0.00,7'993.65,8'601.15,8'601.15,0.00,0.00,7'559.30,8'133.90,8'133.90,0.00,0.00,6'812.95,7'330.80,7'330.80,0.00,0.00,63'263.00,68'071.20,68'071.20,0.00,0.00,6'994.30,7'525.70,7'525.70,0.00,0.00,7'082.60,7'620.80,7'620.80,0.00,0.00,8'079.90,8'693.90,8'693.90,0.00,0.00,7'755.95,8'345.25,8'345.25,0.00,0.00,8'415.60,9'055.10,9'055.10,0.00,0.00,7'814.95,8'408.90,8'408.90,0.00,0.00,9'584.80,10'313.30,10'313.30,0.00,0.00,9'421.35,10'137.60,10'137.60,0.00,0.00,8'294.75,8'925.10,8'925.10,0.00,0.00,8'150.70,8'770.20,8'770.20,0.00,0.00,8'336.90,8'970.50,8'970.50,0.00,0.00,7'038.60,7'573.60,7'573.60,0.00,0.00,96'970.40,104'339.95,104'339.95,0.00,0.00,6'298.85,6'777.50,6'777.50,0.00,0.00,7'316.20,7'872.15,7'872.15,0.00,0.00,9'534.15,10'258.75,10'258.75,0.00,0.00,7'875.50,8'474.05,8'474.05,0.00,0.00,7'321.85,7'878.35,7'878.35,0.00,0.00,8'824.50,9'495.25,9'495.25,0.00,0.00,8'370.00,9'006.10,9'006.10,0.00,0.00,8'145.05,8'764.05,8'764.05,0.00,0.00,7'891.50,8'491.30,8'491.30,0.00,0.00,7'636.10,8'216.40,8'216.40,0.00,0.00,7'524.35,8'096.15,8'096.15,0.00,0.00,7'664.30,8'246.95,8'246.95,0.00,0.00,94'402.35,101'577.00,101'577.00,0.00,0.00,6'523.05,7'018.90,7'018.90,0.00,0.00,6'953.45,7'481.85,7'481.85,0.00,0.00,8'535.60,9'184.20,9'184.20,0.00,0.00,6'915.85,7'441.50,7'441.50,0.00,0.00,7'781.65,8'372.95,8'372.95,0.00,0.00,7'937.45,8'540.65,8'540.65,0.00,0.00,8'587.40,9'240.10,9'240.10,0.00,0.00,8'589.55,9'242.35,9'242.35,0.00,0.00,8'448.65,9'090.75,9'090.75,0.00,0.00,7'807.10,8'400.30,8'400.30,0.00,0.00,7'500.80,8'070.95,8'070.95,0.00,0.00,7'033.50,7'568.00,7'568.00,0.00,0.00,92'614.05,99'652.50,99'652.50,0.00,0.00,347'249.80,373'640.65,373'640.65,0.00,0.00
IBIS SION,Valotel SA,471,6'880.70,7'403.60,7'403.60,0.00,0.00,5'828.30,6'271.25,6'271.25,0.00,0.00,8'578.45,9'230.50,9'230.50,0.00,0.00,8'761.40,9'427.30,9'427.30,0.00,0.00,7'724.15,8'311.15,8'311.15,0.00,0.00,7'446.75,8'012.70,8'012.70,0.00,0.00,5'855.55,6'300.65,6'300.65,0.00,0.00,4'348.45,4'678.90,4'678.90,0.00,0.00,55'423.75,59'636.05,59'636.05,0.00,0.00,5'574.70,5'998.40,5'998.40,0.00,0.00,5'818.05,6'260.25,6'260.25,0.00,0.00,6'818.65,7'336.85,7'336.85,0.00,0.00,6'249.30,6'724.20,6'724.20,0.00,0.00,6'627.55,7'131.20,7'131.20,0.00,0.00,7'303.35,7'858.45,7'858.45,0.00,0.00,8'440.45,9'081.90,9'081.90,0.00,0.00,9'779.25,10'522.45,10'522.45,0.00,0.00,8'238.10,8'864.10,8'864.10,0.00,0.00,6'918.00,7'443.75,7'443.75,0.00,0.00,4'759.50,5'121.25,5'121.25,0.00,0.00,4'806.05,5'171.35,5'171.35,0.00,0.00,81'332.95,87'514.15,87'514.15,0.00,0.00,6'467.45,6'958.90,6'958.90,0.00,0.00,5'784.40,6'223.95,6'223.95,0.00,0.00,7'115.80,7'656.60,7'656.60,0.00,0.00,6'211.10,6'683.15,6'683.15,0.00,0.00,7'542.65,8'115.85,8'115.85,0.00,0.00,8'721.85,9'384.75,9'384.75,0.00,0.00,9'381.70,10'094.65,10'094.65,0.00,0.00,9'007.05,9'691.55,9'691.55,0.00,0.00,8'699.50,9'360.65,9'360.65,0.00,0.00,7'493.60,8'063.10,8'063.10,0.00,0.00,5'955.80,6'408.45,6'408.45,0.00,0.00,6'284.50,6'762.10,6'762.10,0.00,0.00,88'665.40,95'403.70,95'403.70,0.00,0.00,6'048.75,6'508.50,6'508.50,0.00,0.00,6'669.40,7'176.40,7'176.40,0.00,0.00,6'570.45,7'069.75,7'069.75,0.00,0.00,7'269.15,7'821.65,7'821.65,0.00,0.00,6'338.75,6'820.50,6'820.50,0.00,0.00,6'981.95,7'512.65,7'512.65,0.00,0.00,9'226.95,9'928.25,9'928.25,0.00,0.00,10'469.60,11'265.35,11'265.35,0.00,0.00,7'846.90,8'443.25,8'443.25,0.00,0.00,6'907.10,7'432.10,7'432.10,0.00,0.00,6'515.00,7'010.20,7'010.20,0.00,0.00,5'848.20,6'292.60,6'292.60,0.00,0.00,86'692.20,93'281.20,93'281.20,0.00,0.00,312'114.30,335'835.10,335'835.10,0.00,0.00
